Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2025-08-19 14:00:00,Abra,1276.61,32.94,NNE
2025-08-19 17:00:00,Abra,1301.97,31.08,NNE
2025-08-19 20:00:00,Abra,1323.55,28.93,NNE
2025-08-19 23:00:00,Abra,1342.22,27.47,NNE
2025-08-20 02:00:00,Abra,1376.24,26.18,NNE
2025-08-20 05:00:00,Abra,1424.62,26.01,NNE
2025-08-20 08:00:00,Abra,1482.32,26.5,NNE
2025-08-20 11:00:00,Abra,1535.31,26.64,NNE
2025-08-20 14:00:00,Abra,1593.2,26.25,NNE
2025-08-20 17:00:00,Abra,1641.94,25.29,NNE
2025-08-20 20:00:00,Abra,1685.66,24.85,NNE
2025-08-20 23:00:00,Abra,1742.81,25.27,NNE
2025-08-21 02:00:00,Abra,1785.28,26.28,NNE
2025-08-21 05:00:00,Abra,1813.97,26.45,NNE
2025-08-21 08:00:00,Abra,1818.71,26.71,NNE
2025-08-21 11:00:00,Abra,1823.7,27.66,NNE
2025-08-21 14:00:00,Abra,1825.02,29.06,NNE
2025-08-21 17:00:00,Abra,1842.1,30.5,NNE
2025-08-21 20:00:00,Abra,1869.48,31.71,NNE
2025-08-21 23:00:00,Abra,1895.27,32.22,NNE
2025-08-22 02:00:00,Abra,1915.51,32.47,NNE
2025-08-22 05:00:00,Abra,1941.53,32.95,NNE
2025-08-22 08:00:00,Abra,1976.45,33.21,NNE
2025-08-22 11:00:00,Abra,2011.39,33.45,NNE
2025-08-22 14:00:00,Abra,2037.69,33.89,NE
2025-08-22 17:00:00,Abra,2064.13,34.31,NE
2025-08-22 20:00:00,Abra,2076.13,34.71,NE
2025-08-19 14:00:00,Agusan del Norte,2029.89,5.89,N
2025-08-19 17:00:00,Agusan del Norte,2071.99,5.2,N
2025-08-19 20:00:00,Agusan del Norte,2113.56,4.26,N
2025-08-19 23:00:00,Agusan del Norte,2145.31,3.66,N
2025-08-20 02:00:00,Agusan del Norte,2189.01,3.31,N
2025-08-20 05:00:00,Agusan del Norte,2234.74,3.74,N
2025-08-20 08:00:00,Agusan del Norte,2282.28,4.65,N
2025-08-20 11:00:00,Agusan del Norte,2329.39,5.27,N
2025-08-20 14:00:00,Agusan del Norte,2386.75,5.6,N
