Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2025-09-23 20:00:00,Abra,1716.01,118.12,ESE
2025-09-23 23:00:00,Abra,1690.68,119.55,ESE
2025-09-24 02:00:00,Abra,1675.41,120.81,ESE
2025-09-24 05:00:00,Abra,1654.51,121.78,ESE
2025-09-24 08:00:00,Abra,1612.2,122.35,ESE
2025-09-24 11:00:00,Abra,1545.75,123.09,ESE
2025-09-24 14:00:00,Abra,1472.98,123.54,ESE
2025-09-24 17:00:00,Abra,1424.53,123.86,SE
2025-09-24 20:00:00,Abra,1376.13,124.2,SE
2025-09-24 23:00:00,Abra,1334.52,124.94,SE
2025-09-25 02:00:00,Abra,1277.68,125.64,SE
2025-09-25 05:00:00,Abra,1222.72,125.67,SE
2025-09-25 08:00:00,Abra,1166.1,126.45,SE
2025-09-25 11:00:00,Abra,1123.96,128.2,SE
2025-09-25 14:00:00,Abra,1067.3,130.01,SE
2025-09-25 17:00:00,Abra,996.5,131.1,SE
2025-09-25 20:00:00,Abra,910.57,132.3,SE
2025-09-25 23:00:00,Abra,856.59,134.79,SE
2025-09-26 02:00:00,Abra,805.73,138.71,SE
2025-09-26 05:00:00,Abra,731.08,144.68,SE
2025-09-26 08:00:00,Abra,655.99,153.58,SSE
2025-09-26 11:00:00,Abra,583.58,166.17,SSE
2025-09-26 14:00:00,Abra,544.86,180.19,S
2025-09-26 17:00:00,Abra,529.91,189.63,S
2025-09-26 20:00:00,Abra,522.92,197.08,SSW
2025-09-26 23:00:00,Abra,528.88,208.31,SSW
2025-09-27 02:00:00,Abra,551.87,220.5,SW
2025-09-27 05:00:00,Abra,597.97,232.78,SW
2025-09-27 08:00:00,Abra,666.24,242.93,WSW
2025-09-27 11:00:00,Abra,723.67,247.35,WSW
2025-09-27 14:00:00,Abra,774.5,250.83,WSW
2025-09-27 17:00:00,Abra,844.69,255.06,WSW
2025-09-27 20:00:00,Abra,928.81,258.81,W
2025-09-27 23:00:00,Abra,1012.15,259.96,W
2025-09-28 02:00:00,Abra,1085.31,260.84,W
2025-09-28 05:00:00,Abra,1141.94,263.17,W
2025-09-28 08:00:00,Abra,1200.02,265.28,W
2025-09-28 11:00:00,Abra,1269.92,267.26,W
2025-09-28 14:00:00,Abra,1330.29,269.01,W
2025-09-28 17:00:00,Abra,1380.34,271.05,W
2025-09-28 20:00:00,Abra,1432.01,272.5,W
2025-09-28 23:00:00,Abra,1484.32,273.86,W
2025-09-29 02:00:00,Abra,1526.57,274.72,W
2025-09-23 20:00:00,Agusan del Norte,978.66,83.09,E
