Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2020,Ambo,Albay,0.0,0.0,0.0
2020,Ambo,Aurora,0.0,0.0,0.0
2020,Ambo,Benguet,0.0,0.0,0.0
2020,Ambo,Bulacan,4.0,2.0,6.0
2020,Ambo,Camarines Norte,0.0,0.0,0.0
2020,Ambo,Camarines Sur,0.0,0.0,0.0
2020,Ambo,Catanduanes,0.0,0.0,0.0
2020,Ambo,Eastern Samar,2966.0,11095.0,14061.0
2020,Ambo,Ifugao,0.0,0.0,0.0
2020,Ambo,Ilocos Norte,0.0,0.0,0.0
2020,Ambo,Laguna,0.0,0.0,0.0
2020,Ambo,Marinduque,0.0,0.0,0.0
2020,Ambo,Masbate,0.0,0.0,0.0
2020,Ambo,Northern Samar,4662.0,37169.0,41831.0
2020,Ambo,Nueva Vizcaya,0.0,0.0,0.0
2020,Ambo,Quezon,0.0,0.0,0.0
2020,Ambo,Sorsogon,0.0,0.0,0.0
