Year,Storm,Province,Affected
2020,Ulysses,Abra,416.0
2020,Ulysses,Apayao,0.0
2020,Ulysses,Batangas,13719.0
2020,Ulysses,Benguet,0.0
2020,Ulysses,Cagayan,0.0
2020,Ulysses,Camarines Norte,0.0
2020,Ulysses,Isabela,0.0
2020,Ulysses,Kalinga,0.0
2020,Ulysses,La Union,0.0
2020,Ulysses,Laguna,0.0
2020,Ulysses,Marinduque,0.0
2020,Ulysses,Nueva Ecija,0.0
2020,Ulysses,Nueva Vizcaya,0.0
2020,Ulysses,Pangasinan,0.0
2020,Ulysses,Quezon,0.0
2020,Ulysses,Quirino,0.0
2020,Ulysses,Rizal,0.0
2020,Ulysses,Romblon,292.0
