Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2021,Jolina,Aklan,0.0
2021,Jolina,Albay,0.0
2021,Jolina,Antique,0.0
2021,Jolina,Aurora,0.0
2021,Jolina,Bataan,0.0
2021,Jolina,Batangas,0.0
2021,Jolina,Biliran,0.0
2021,Jolina,Bulacan,0.0
2021,Jolina,Camarines Norte,0.0
2021,Jolina,Camarines Sur,0.0
2021,Jolina,Capiz,0.0
2021,Jolina,Cavite,0.0
2021,Jolina,Eastern Samar,0.0
2021,Jolina,Iloilo,0.0
2021,Jolina,Laguna,0.0
2021,Jolina,Leyte,0.0
2021,Jolina,Marinduque,0.0
2021,Jolina,Masbate,0.0
2021,Jolina,Negros Occidental,0.0
2021,Jolina,Northern Samar,0.0
2021,Jolina,Nueva Ecija,0.0
2021,Jolina,Occidental Mindoro,0.0
2021,Jolina,Oriental Mindoro,0.0
2021,Jolina,Pampanga,0.0
2021,Jolina,Quezon,0.0
2021,Jolina,Rizal,0.0
2021,Jolina,Romblon,0.0
2021,Jolina,Samar,0.0
2021,Jolina,Sorsogon,0.0
2021,Jolina,South Cotabato,0.0
2021,Jolina,Southern Leyte,0.0
