Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2022,Agaton,Agusan del Sur,0.0
2022,Agaton,Aklan,5781226.67
2022,Agaton,Albay,0.0
2022,Agaton,Antique,16721013.38
2022,Agaton,Aurora,0.0
2022,Agaton,Biliran,11207009.92
2022,Agaton,Bohol,0.0
2022,Agaton,Bukidnon,8.0
2022,Agaton,Capiz,851109402.9
2022,Agaton,Cebu,0.0
2022,Agaton,Cotabato,0.0
2022,Agaton,Davao Oriental,0.0
2022,Agaton,Davao de Oro,0.0
2022,Agaton,Davao del Norte,0.0
2022,Agaton,Eastern Samar,78485307.0
2022,Agaton,Guimaras,265577.0
2022,Agaton,Iloilo,413397443.5
2022,Agaton,Isabela,5250.0
2022,Agaton,Lanao del Sur,0.0
2022,Agaton,Leyte,808325884.2
2022,Agaton,Masbate,440472.94
2022,Agaton,Misamis Occidental,0.0
2022,Agaton,Misamis Oriental,0.0
2022,Agaton,Negros Occidental,33586076.61
2022,Agaton,Negros Oriental,0.0
2022,Agaton,Northern Samar,169693.64
2022,Agaton,Quezon,0.0
2022,Agaton,Rizal,0.0
2022,Agaton,Samar,21516694.72
2022,Agaton,Sarangani,0.0
2022,Agaton,Sorsogon,0.0
2022,Agaton,South Cotabato,0.0
2022,Agaton,Southern Leyte,23190702.5
2022,Agaton,Sultan Kudarat,0.0
2022,Agaton,Surigao del Norte,0.0
2022,Agaton,Surigao del Sur,0.0
