Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2022,Paeng,Abra,167740.0
2022,Paeng,Agusan del Norte,0.0
2022,Paeng,Aklan,78402088.36
2022,Paeng,Albay,48852929.93
2022,Paeng,Antique,438588662.21
2022,Paeng,Apayao,110560.0
2022,Paeng,Aurora,44647048.04
2022,Paeng,Basilan,4316000.0
2022,Paeng,Bataan,88433633.77
2022,Paeng,Batangas,30544915.88
2022,Paeng,Benguet,7920493.45
2022,Paeng,Biliran,0.0
2022,Paeng,Bulacan,77437197.44
2022,Paeng,Cagayan,684238247.4
2022,Paeng,Camarines Norte,123513004.67
2022,Paeng,Camarines Sur,542932910.13
2022,Paeng,Capiz,1054584456.99
2022,Paeng,Catanduanes,26700581.54
2022,Paeng,Cavite,69406584.37
2022,Paeng,Cebu,0.0
2022,Paeng,Cotabato,0.0
2022,Paeng,Davao Occidental,0.0
2022,Paeng,Davao Oriental,10000.0
2022,Paeng,Davao del Norte,0.0
2022,Paeng,Dinagat Islands,0.0
2022,Paeng,Eastern Samar,0.0
2022,Paeng,Guimaras,44660141.11
2022,Paeng,Ifugao,5735772.82
2022,Paeng,Ilocos Norte,310000.0
2022,Paeng,Ilocos Sur,1689060.0
2022,Paeng,Iloilo,699773918.6
2022,Paeng,Isabela,302266144.95
2022,Paeng,Kalinga,16004474.34
2022,Paeng,La Union,7784069.6
2022,Paeng,Laguna,109704121.86
2022,Paeng,Lanao del Norte,0.0
2022,Paeng,Lanao del Sur,2142000.0
2022,Paeng,Leyte,0.0
2022,Paeng,Marinduque,39412804.13
2022,Paeng,Masbate,129614759.13
2022,Paeng,Misamis Oriental,1354500.0
2022,Paeng,Negros Occidental,322502887.43
2022,Paeng,Negros Oriental,0.0
2022,Paeng,Northern Samar,0.0
2022,Paeng,Nueva Ecija,95881449.62
2022,Paeng,Nueva Vizcaya,305558417.719
2022,Paeng,Occidental Mindoro,191682326.14
2022,Paeng,Oriental Mindoro,101838780.9
2022,Paeng,Palawan,661000.0
2022,Paeng,Pampanga,208618130.9
2022,Paeng,Pangasinan,43016980.9
2022,Paeng,Quezon,503825027.18
2022,Paeng,Quirino,18482600.92
2022,Paeng,Rizal,14250800.0
2022,Paeng,Romblon,8849000.0
2022,Paeng,Samar,0.0
2022,Paeng,Sarangani,0.0
2022,Paeng,Siquijor,0.0
2022,Paeng,Sorsogon,56014823.25
2022,Paeng,South Cotabato,0.0
2022,Paeng,Southern Leyte,0.0
2022,Paeng,Sultan Kudarat,28347000.0
2022,Paeng,Sulu,0.0
2022,Paeng,Surigao del Norte,0.0
2022,Paeng,Tarlac,19927647.48
2022,Paeng,Tawi-Tawi,20830009.9
2022,Paeng,Zambales,7011298.86
2022,Paeng,Zamboanga del Norte,0.0
2022,Paeng,Zamboanga del Sur,2360000.0
