Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2022,Paeng,Abra,1.0,23.0,24.0
2022,Paeng,Agusan del Norte,10.0,14.0,24.0
2022,Paeng,Aklan,129.0,5904.0,6033.0
2022,Paeng,Albay,0.0,0.0,0.0
2022,Paeng,Antique,963.0,5444.0,6407.0
2022,Paeng,Apayao,1.0,0.0,1.0
2022,Paeng,Aurora,0.0,32.0,32.0
2022,Paeng,Basilan,0.0,0.0,0.0
2022,Paeng,Bataan,10.0,81.0,91.0
2022,Paeng,Batangas,243.0,4959.0,5202.0
2022,Paeng,Benguet,5.0,89.0,94.0
2022,Paeng,Biliran,0.0,29.0,29.0
2022,Paeng,Bulacan,7.0,135.0,142.0
2022,Paeng,Cagayan,44.0,5.0,49.0
2022,Paeng,Camarines Norte,194.0,2692.0,2886.0
2022,Paeng,Camarines Sur,19.0,64.0,83.0
2022,Paeng,Capiz,41.0,3476.0,3517.0
2022,Paeng,Catanduanes,25.0,328.0,353.0
2022,Paeng,Cavite,178.0,1.924,179.924
2022,Paeng,Cebu,11.0,39.0,50.0
2022,Paeng,Cotabato,74.0,273.0,347.0
2022,Paeng,Davao Occidental,104.0,497.0,601.0
2022,Paeng,Davao Oriental,5.0,18.0,23.0
2022,Paeng,Davao del Norte,0.0,0.0,0.0
2022,Paeng,Dinagat Islands,2.0,1.0,3.0
2022,Paeng,Eastern Samar,0.0,3.0,3.0
2022,Paeng,Guimaras,2.0,19.0,21.0
2022,Paeng,Ifugao,9.0,66.0,75.0
2022,Paeng,Ilocos Norte,0.0,0.0,0.0
2022,Paeng,Ilocos Sur,1.0,15.0,16.0
2022,Paeng,Iloilo,669.0,6.442,675.442
2022,Paeng,Isabela,0.0,3.0,3.0
2022,Paeng,Kalinga,4.0,381.0,385.0
2022,Paeng,La Union,18.0,703.0,721.0
2022,Paeng,Laguna,726.0,2766.0,3492.0
2022,Paeng,Lanao del Norte,19.0,140.0,159.0
2022,Paeng,Lanao del Sur,0.0,0.0,0.0
2022,Paeng,Leyte,81.0,5769.0,5850.0
2022,Paeng,Marinduque,108.0,2467.0,2575.0
2022,Paeng,Masbate,0.0,141.0,141.0
2022,Paeng,Misamis Oriental,76.0,529.0,605.0
2022,Paeng,Negros Occidental,381.0,3707.0,4088.0
2022,Paeng,Negros Oriental,0.0,0.0,0.0
2022,Paeng,Northern Samar,1.0,45.0,46.0
2022,Paeng,Nueva Ecija,0.0,0.0,0.0
2022,Paeng,Nueva Vizcaya,6.0,28.0,34.0
2022,Paeng,Occidental Mindoro,43.0,239.0,282.0
2022,Paeng,Oriental Mindoro,38.0,181.0,219.0
2022,Paeng,Palawan,46.0,290.0,336.0
2022,Paeng,Pampanga,5.0,16.0,21.0
2022,Paeng,Pangasinan,14.0,260.0,274.0
2022,Paeng,Quezon,550.0,8033.0,8583.0
2022,Paeng,Quirino,0.0,2.0,2.0
2022,Paeng,Rizal,24.0,45.0,69.0
2022,Paeng,Romblon,7.0,197.0,204.0
2022,Paeng,Samar,79.0,485.0,564.0
2022,Paeng,Sarangani,121.0,519.0,640.0
2022,Paeng,Siquijor,0.0,0.0,0.0
2022,Paeng,Sorsogon,3.0,70.0,73.0
2022,Paeng,South Cotabato,14.0,217.0,231.0
2022,Paeng,Southern Leyte,6.0,1.0,7.0
2022,Paeng,Sultan Kudarat,200.0,422.0,622.0
2022,Paeng,Sulu,0.0,0.0,0.0
2022,Paeng,Surigao del Norte,0.0,1.0,1.0
2022,Paeng,Tarlac,0.0,21.0,21.0
2022,Paeng,Tawi-Tawi,0.0,0.0,0.0
2022,Paeng,Zambales,121.0,204.0,325.0
2022,Paeng,Zamboanga del Norte,51.0,136.0,187.0
2022,Paeng,Zamboanga del Sur,97.0,21.0,118.0
