Year,Storm,Province,Affected
2023,Betty,Abra,20194.0
2023,Betty,Aklan,191.0
2023,Betty,Antique,8065.0
2023,Betty,Apayao,46.0
2023,Betty,Aurora,11361.0
2023,Betty,Batanes,20.873
2023,Betty,Benguet,1554.0
2023,Betty,Cagayan,1938.0
2023,Betty,Guimaras,4.0
2023,Betty,Ifugao,12.0
2023,Betty,Ilocos Norte,42.0
2023,Betty,Ilocos Sur,4853.0
2023,Betty,Iloilo,9980.0
2023,Betty,Isabela,1.544
2023,Betty,La Union,8.0
2023,Betty,Negros Occidental,21215.0
2023,Betty,Occidental Mindoro,1059.0
2023,Betty,Palawan,1132.0
2023,Betty,Pangasinan,14.0
2023,Betty,Romblon,9.0
