Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2023,Egay,Abra,1034800.0
2023,Egay,Aklan,0.0
2023,Egay,Albay,0.0
2023,Egay,Antique,6950251.4
2023,Egay,Apayao,35759670.0
2023,Egay,Aurora,37034592.55
2023,Egay,Basilan,0.0
2023,Egay,Bataan,707108.48
2023,Egay,Batanes,0.0
2023,Egay,Batangas,8000.0
2023,Egay,Benguet,5236066.67
2023,Egay,Bulacan,68000836.5
2023,Egay,Cagayan,0.0
2023,Egay,Camarines Norte,0.0
2023,Egay,Camarines Sur,0.0
2023,Egay,Catanduanes,0.0
2023,Egay,Cavite,6000.0
2023,Egay,Cotabato,0.0
2023,Egay,Davao Occidental,0.0
2023,Egay,Davao Oriental,0.0
2023,Egay,Davao del Norte,0.0
2023,Egay,Davao del Sur,0.0
2023,Egay,Guimaras,2609763.34
2023,Egay,Ifugao,0.0
2023,Egay,Ilocos Norte,87967943.0
2023,Egay,Ilocos Sur,29965480.0
2023,Egay,Iloilo,10526511.62
2023,Egay,Isabela,670567.58
2023,Egay,Kalinga,7668083.0
2023,Egay,La Union,0.0
2023,Egay,Masbate,0.0
2023,Egay,Misamis Oriental,0.0
2023,Egay,Negros Occidental,50358202.3
2023,Egay,Nueva Ecija,80252120.36
2023,Egay,Nueva Vizcaya,0.0
2023,Egay,Occidental Mindoro,53940611.62
2023,Egay,Oriental Mindoro,82006624.33
2023,Egay,Palawan,1942475.0
2023,Egay,Pampanga,299901349.76
2023,Egay,Pangasinan,3874343.0
2023,Egay,Quezon,211200.0
2023,Egay,Quirino,0.0
2023,Egay,Rizal,3109766.0
2023,Egay,Sorsogon,0.0
2023,Egay,Sultan Kudarat,0.0
2023,Egay,Tarlac,88207403.11
2023,Egay,Zambales,21539683.55
