Year,Storm,Province,Damage to Infrastructure (PhP)
2023,Falcon,Abra,100547690.0
2023,Falcon,Aklan,0.0
2023,Falcon,Albay,0.0
2023,Falcon,Antique,0.0
2023,Falcon,Apayao,2141250.0
2023,Falcon,Aurora,0.0
2023,Falcon,Basilan,0.0
2023,Falcon,Bataan,256412105.75
2023,Falcon,Batanes,14510000.0
2023,Falcon,Batangas,0.0
2023,Falcon,Benguet,16425200.000000007
2023,Falcon,Biliran,0.0
2023,Falcon,Bulacan,95351452.0
2023,Falcon,Cagayan,1894395013.3
2023,Falcon,Camarines Norte,0.0
2023,Falcon,Camarines Sur,0.0
2023,Falcon,Capiz,0.0
2023,Falcon,Catanduanes,0.0
2023,Falcon,Cavite,0.0
2023,Falcon,Cotabato,0.0
2023,Falcon,Davao Occidental,0.0
2023,Falcon,Davao Oriental,0.0
2023,Falcon,Davao del Norte,0.0
2023,Falcon,Davao del Sur,0.0
2023,Falcon,Guimaras,0.0
2023,Falcon,Ifugao,350000.0
2023,Falcon,Ilocos Norte,0.0
2023,Falcon,Ilocos Sur,0.0
2023,Falcon,Iloilo,0.0
2023,Falcon,Isabela,18300000.0
2023,Falcon,Kalinga,119900048.80000001
2023,Falcon,La Union,0.0
2023,Falcon,Laguna,0.0
2023,Falcon,Masbate,0.0
2023,Falcon,Misamis Oriental,0.0
2023,Falcon,Negros Occidental,0.0
2023,Falcon,Nueva Ecija,0.0
2023,Falcon,Nueva Vizcaya,68588501.01000002
2023,Falcon,Occidental Mindoro,0.0
2023,Falcon,Oriental Mindoro,220940000.0
2023,Falcon,Palawan,0.0
2023,Falcon,Pampanga,0.0
2023,Falcon,Pangasinan,32900000.0
2023,Falcon,Quezon,0.0
2023,Falcon,Quirino,19000000.0
2023,Falcon,Rizal,936000.0
2023,Falcon,Sorsogon,0.0
2023,Falcon,Sultan Kudarat,0.0
2023,Falcon,Tarlac,0.0
2023,Falcon,Zambales,0.0
