Year,Storm,Province,Affected
2023,Falcon,Abra,12367.0
2023,Falcon,Aklan,95.0
2023,Falcon,Albay,7210.0
2023,Falcon,Antique,2341.0
2023,Falcon,Apayao,12902.0
2023,Falcon,Aurora,29.0
2023,Falcon,Basilan,0.0
2023,Falcon,Bataan,845039.0
2023,Falcon,Batanes,17472.0
2023,Falcon,Batangas,853.0
2023,Falcon,Benguet,25957.0
2023,Falcon,Biliran,15.0
2023,Falcon,Bulacan,640857.0
2023,Falcon,Cagayan,36494.0
2023,Falcon,Camarines Norte,0.0
2023,Falcon,Camarines Sur,0.0
2023,Falcon,Capiz,0.0
2023,Falcon,Catanduanes,0.0
2023,Falcon,Cavite,16.0
2023,Falcon,Cotabato,0.0
2023,Falcon,Davao Occidental,15.0
2023,Falcon,Davao Oriental,0.0
2023,Falcon,Davao del Norte,1513.0
2023,Falcon,Davao del Sur,0.0
2023,Falcon,Guimaras,1401.0
2023,Falcon,Ifugao,188.0
2023,Falcon,Ilocos Norte,49252.0
2023,Falcon,Ilocos Sur,277657.0
2023,Falcon,Iloilo,40797.0
2023,Falcon,Isabela,2087.0
2023,Falcon,Kalinga,194.0
2023,Falcon,La Union,4961.0
2023,Falcon,Laguna,0.0
2023,Falcon,Masbate,0.0
2023,Falcon,Misamis Oriental,0.0
2023,Falcon,Negros Occidental,32193.0
2023,Falcon,Nueva Ecija,8085.0
2023,Falcon,Nueva Vizcaya,5117.0
2023,Falcon,Occidental Mindoro,23986.0
2023,Falcon,Oriental Mindoro,0.0
2023,Falcon,Palawan,0.0
2023,Falcon,Pampanga,413648.0
2023,Falcon,Pangasinan,334511.0
2023,Falcon,Quezon,0.0
2023,Falcon,Quirino,0.0
2023,Falcon,Rizal,3947.0
2023,Falcon,Sorsogon,0.0
2023,Falcon,Sultan Kudarat,0.0
2023,Falcon,Tarlac,75234.0
2023,Falcon,Zambales,36487.0
