Year,Storm,Province,Damage to Infrastructure (PhP)
2023,Hanna,Abra,0.0
2023,Hanna,Aklan,0.0
2023,Hanna,Antique,0.0
2023,Hanna,Apayao,0.0
2023,Hanna,Aurora,0.0
2023,Hanna,Bataan,0.0
2023,Hanna,Batanes,0.0
2023,Hanna,Batangas,0.0
2023,Hanna,Benguet,0.0
2023,Hanna,Bulacan,0.0
2023,Hanna,Cagayan,102200000.0
2023,Hanna,Capiz,0.0
2023,Hanna,Cavite,0.0
2023,Hanna,Guimaras,0.0
2023,Hanna,Ifugao,0.0
2023,Hanna,Ilocos Norte,426750000.0
2023,Hanna,Ilocos Sur,160850000.0
2023,Hanna,Iloilo,0.0
2023,Hanna,Isabela,9455000.0
2023,Hanna,Kalinga,0.0
2023,Hanna,La Union,0.0
2023,Hanna,Laguna,0.0
2023,Hanna,Negros Occidental,0.0
2023,Hanna,Nueva Vizcaya,0.0
2023,Hanna,Occidental Mindoro,1800000.0
2023,Hanna,Palawan,0.0
2023,Hanna,Pampanga,0.0
2023,Hanna,Pangasinan,9400000.0
2023,Hanna,Quezon,0.0
2023,Hanna,Quirino,0.0
2023,Hanna,Rizal,0.0
2023,Hanna,Zambales,0.0
