Year,Storm,Province,Affected
2024,Aghon,Albay,1113.0
2024,Aghon,Batangas,5031.0
2024,Aghon,Camarines Norte,134.0
2024,Aghon,Camarines Sur,980.0
2024,Aghon,Catanduanes,585.0
2024,Aghon,Cavite,108.0
2024,Aghon,Cebu,629.0
2024,Aghon,Eastern Samar,1958.0
2024,Aghon,Laguna,0.0
2024,Aghon,Marinduque,2654.0
2024,Aghon,Masbate,204.0
2024,Aghon,Northern Samar,53.0
2024,Aghon,Occidental Mindoro,22.0
2024,Aghon,Oriental Mindoro,833.0
2024,Aghon,Quezon,89305.0
2024,Aghon,Rizal,25.0
2024,Aghon,Romblon,147.0
2024,Aghon,Samar,20.0
2024,Aghon,Sorsogon,7659.0
