Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2024,Butchoy,Agusan del Sur,1.0,4.0,5.0
2024,Butchoy,Aklan,0.0,0.0,0.0
2024,Butchoy,Antique,0.0,0.0,0.0
2024,Butchoy,Basilan,1.0,3.0,4.0
2024,Butchoy,Bukidnon,7.0,4.0,11.0
2024,Butchoy,Capiz,0.0,0.0,0.0
2024,Butchoy,Cebu,0.0,0.0,0.0
2024,Butchoy,Cotabato,0.0,0.0,0.0
2024,Butchoy,Davao Occidental,8.0,32.0,40.0
2024,Butchoy,Iloilo,0.0,0.0,0.0
2024,Butchoy,La Union,0.0,0.0,0.0
2024,Butchoy,Lanao del Norte,0.0,3.0,3.0
2024,Butchoy,Lanao del Sur,0.0,0.0,0.0
2024,Butchoy,Maguindanao del Norte,0.0,0.0,0.0
2024,Butchoy,Maguindanao del Sur,0.0,0.0,0.0
2024,Butchoy,Misamis Oriental,1.0,6.0,7.0
2024,Butchoy,Negros Occidental,0.0,0.0,0.0
2024,Butchoy,Negros Oriental,4.0,7.0,11.0
2024,Butchoy,Oriental Mindoro,0.0,0.0,0.0
2024,Butchoy,Romblon,0.0,0.0,0.0
2024,Butchoy,Sarangani,9.0,6.0,15.0
2024,Butchoy,South Cotabato,0.0,0.0,0.0
2024,Butchoy,Sultan Kudarat,15.0,8.0,23.0
2024,Butchoy,Surigao del Norte,0.0,0.0,0.0
2024,Butchoy,Zamboanga del Norte,11.0,8.0,19.0
2024,Butchoy,Zamboanga del Sur,0.0,11.0,11.0
