Year,Storm,Province,Damage to Infrastructure (PhP)
2024,Gener,Abra,0.0
2024,Gener,Aklan,0.0
2024,Gener,Albay,0.0
2024,Gener,Antique,0.0
2024,Gener,Aurora,0.0
2024,Gener,Basilan,0.0
2024,Gener,Bohol,0.0
2024,Gener,Cagayan,0.0
2024,Gener,Camarines Sur,0.0
2024,Gener,Camiguin,0.0
2024,Gener,Capiz,0.0
2024,Gener,Cebu,0.0
2024,Gener,Cotabato,0.0
2024,Gener,Davao Occidental,0.0
2024,Gener,Davao Oriental,0.0
2024,Gener,Dinagat Islands,0.0
2024,Gener,Guimaras,0.0
2024,Gener,Iloilo,0.0
2024,Gener,Isabela,0.0
2024,Gener,Lanao del Norte,0.0
2024,Gener,Lanao del Sur,0.0
2024,Gener,Maguindanao del Norte,0.0
2024,Gener,Maguindanao del Sur,0.0
2024,Gener,Misamis Occidental,0.0
2024,Gener,Misamis Oriental,0.0
2024,Gener,Negros Occidental,0.0
2024,Gener,Negros Oriental,0.0
2024,Gener,Nueva Vizcaya,0.0
2024,Gener,Occidental Mindoro,0.0
2024,Gener,Palawan,0.0
2024,Gener,Quezon,0.0
2024,Gener,Quirino,0.0
2024,Gener,Rizal,0.0
2024,Gener,Romblon,0.0
2024,Gener,Sarangani,0.0
2024,Gener,Siquijor,0.0
2024,Gener,Sorsogon,0.0
2024,Gener,Sultan Kudarat,0.0
2024,Gener,Zamboanga del Norte,0.0
2024,Gener,Zamboanga del Sur,0.0
