Year,Storm,Province,Affected
2024,Helen,Abra,0.0
2024,Helen,Aklan,14532.0
2024,Helen,Albay,0.0
2024,Helen,Antique,32150.0
2024,Helen,Aurora,1.0
2024,Helen,Basilan,0.0
2024,Helen,Benguet,0.0
2024,Helen,Bohol,19585.0
2024,Helen,Bulacan,128084.0
2024,Helen,Cagayan,1.0
2024,Helen,Camarines Sur,461.0
2024,Helen,Camiguin,156.0
2024,Helen,Cebu,0.0
2024,Helen,Cotabato,205.0
2024,Helen,Davao Occidental,0.0
2024,Helen,Davao Oriental,74.0
2024,Helen,Davao del Sur,13.0
2024,Helen,Dinagat Islands,0.0
2024,Helen,Guimaras,4513.0
2024,Helen,Ifugao,0.0
2024,Helen,Iloilo,16356.0
2024,Helen,Isabela,766.0
2024,Helen,Kalinga,10.0
2024,Helen,Lanao del Norte,138.0
2024,Helen,Lanao del Sur,0.0
2024,Helen,Maguindanao del Norte,267.0
2024,Helen,Maguindanao del Sur,51455.0
2024,Helen,Misamis Occidental,18.0
2024,Helen,Misamis Oriental,6758.0
2024,Helen,Negros Occidental,123426.0
2024,Helen,Negros Oriental,141.0
2024,Helen,Nueva Vizcaya,401.0
2024,Helen,Occidental Mindoro,0.0
2024,Helen,Palawan,20224.0
2024,Helen,Pampanga,222025.0
2024,Helen,Quezon,6.0
2024,Helen,Quirino,112.0
2024,Helen,Rizal,0.0
2024,Helen,Romblon,86.0
2024,Helen,Sarangani,0.0
2024,Helen,Siquijor,21.0
2024,Helen,Sorsogon,0.0
2024,Helen,Sultan Kudarat,390.0
2024,Helen,Zamboanga Sibugay,4004.0
2024,Helen,Zamboanga del Norte,7100.0
2024,Helen,Zamboanga del Sur,3921.0
