Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2024,Leon,Abra,0.0,0.0,0.0
2024,Leon,Agusan del Norte,0.0,0.0,0.0
2024,Leon,Aklan,16.0,906.0,922.0
2024,Leon,Albay,803.0,2358.0,3161.0
2024,Leon,Antique,15.0,453.0,468.0
2024,Leon,Apayao,0.0,16.0,16.0
2024,Leon,Aurora,0.0,0.0,0.0
2024,Leon,Bataan,6.0,0.0,6.0
2024,Leon,Batanes,1.0,548.0,549.0
2024,Leon,Batangas,3677.0,30501.0,34178.0
2024,Leon,Benguet,0.0,8.0,8.0
2024,Leon,Biliran,33.0,839.0,872.0
2024,Leon,Bohol,0.0,1.0,1.0
2024,Leon,Bukidnon,0.0,0.0,0.0
2024,Leon,Bulacan,0.0,56.0,58.0
2024,Leon,Cagayan,3.0,19.0,22.0
2024,Leon,Camarines Norte,986.0,786.0,1772.0
2024,Leon,Camarines Sur,1835.0,19588.0,21423.0
2024,Leon,Camiguin,12.0,28.0,3.0
2024,Leon,Capiz,0.0,115.0,115.0
2024,Leon,Catanduanes,19.0,23.0,42.0
2024,Leon,Cavite,263.0,1909.0,2172.0
2024,Leon,Cebu,0.0,59.0,59.0
2024,Leon,Cotabato,0.0,0.0,0.0
2024,Leon,Davao Occidental,3.0,198.0,201.0
2024,Leon,Davao Oriental,0.0,0.0,0.0
2024,Leon,Davao del Sur,0.0,0.0,0.0
2024,Leon,Dinagat Islands,3.0,163.0,166.0
2024,Leon,Eastern Samar,1.0,41.0,42.0
2024,Leon,Guimaras,8.0,593.0,601.0
2024,Leon,Ifugao,0.0,14.0,14.0
2024,Leon,Ilocos Norte,0.0,1.0,1.0
2024,Leon,Ilocos Sur,0.0,3.0,3.0
2024,Leon,Iloilo,502.0,10117.0,10619.0
2024,Leon,Isabela,0.0,2.0,2.0
2024,Leon,Kalinga,1.0,45.0,46.0
2024,Leon,La Union,6.0,866.0,872.0
2024,Leon,Laguna,1009.0,10781.0,11790.0
2024,Leon,Lanao del Norte,54.0,724.0,778.0
2024,Leon,Lanao del Sur,90.0,135.0,225.0
2024,Leon,Leyte,5.0,40.0,45.0
2024,Leon,Maguindanao del Norte,0.0,0.0,0.0
2024,Leon,Maguindanao del Sur,0.0,0.0,0.0
2024,Leon,Marinduque,2.0,12.0,14.0
2024,Leon,Masbate,263.0,628.0,609.0
2024,Leon,Misamis Occidental,0.0,0.0,0.0
2024,Leon,Misamis Oriental,23.0,381.0,404.0
2024,Leon,Negros Occidental,77.0,2784.0,2861.0
2024,Leon,Negros Oriental,0.0,29.0,25.0
2024,Leon,Northern Samar,157.0,1560.0,1717.0
2024,Leon,Nueva Ecija,0.0,0.0,0.0
2024,Leon,Nueva Vizcaya,0.0,0.0,0.0
2024,Leon,Occidental Mindoro,45.0,435.0,480.0
2024,Leon,Oriental Mindoro,92.0,541.0,633.0
2024,Leon,Palawan,0.0,0.0,0.0
2024,Leon,Pampanga,0.0,0.0,0.0
2024,Leon,Pangasinan,67.0,1545.0,1612.0
2024,Leon,Quezon,89.0,1834.0,1923.0
2024,Leon,Quirino,0.0,0.0,0.0
2024,Leon,Rizal,19.0,24.0,43.0
2024,Leon,Romblon,19.0,370.0,389.0
2024,Leon,Samar,8.0,472.0,480.0
2024,Leon,Sarangani,9.0,23.0,32.0
2024,Leon,Siquijor,0.0,0.0,0.0
2024,Leon,Sorsogon,486.0,7.34,738.34
2024,Leon,South Cotabato,0.0,0.0,0.0
2024,Leon,Southern Leyte,2.0,16.0,18.0
2024,Leon,Sultan Kudarat,0.0,0.0,0.0
2024,Leon,Surigao del Norte,15.0,14.0,29.0
2024,Leon,Surigao del Sur,1.0,0.0,1.0
2024,Leon,Tarlac,0.0,0.0,0.0
2024,Leon,Zambales,0.0,0.0,0.0
2024,Leon,Zamboanga Sibugay,0.0,0.0,0.0
2024,Leon,Zamboanga del Norte,11.0,32.0,43.0
2024,Leon,Zamboanga del Sur,3.0,137.0,140.0
