Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2024,Ofel,Abra,0.0,147.0,147.0
2024,Ofel,Albay,0.0,0.0,0.0
2024,Ofel,Apayao,2.0,101.0,103.0
2024,Ofel,Aurora,6.0,284.0,290.0
2024,Ofel,Benguet,0.0,3.0,3.0
2024,Ofel,Cagayan,7.0,5.0,12.0
2024,Ofel,Camarines Norte,0.0,0.0,0.0
2024,Ofel,Camarines Sur,0.0,0.0,0.0
2024,Ofel,Catanduanes,0.0,0.0,0.0
2024,Ofel,Ifugao,6.0,21.0,27.0
2024,Ofel,Ilocos Sur,0.0,1.0,1.0
2024,Ofel,Isabela,200.0,1568.0,1768.0
2024,Ofel,Kalinga,3.0,4.0,7.0
2024,Ofel,La Union,0.0,0.0,0.0
2024,Ofel,Nueva Vizcaya,0.0,9.0,9.0
2024,Ofel,Quezon,3.0,0.0,3.0
2024,Ofel,Quirino,4.0,121.0,125.0
