Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2025,Crising,Abra,0.0
2025,Crising,Agusan del Norte,0.0
2025,Crising,Aklan,1629400.0
2025,Crising,Albay,0.0
2025,Crising,Antique,148801.0
2025,Crising,Apayao,0.0
2025,Crising,Aurora,0.0
2025,Crising,Basilan,0.0
2025,Crising,Bataan,0.0
2025,Crising,Batangas,310775.0
2025,Crising,Benguet,0.0
2025,Crising,Bohol,0.0
2025,Crising,Bulacan,0.0
2025,Crising,Cagayan,333354022.25
2025,Crising,Camarines Norte,0.0
2025,Crising,Camarines Sur,0.0
2025,Crising,Camiguin,0.0
2025,Crising,Capiz,4548750.0
2025,Crising,Catanduanes,0.0
2025,Crising,Cavite,1469855.0
2025,Crising,Cebu,0.0
2025,Crising,Davao Occidental,0.0
2025,Crising,Davao del Sur,0.0
2025,Crising,Dinagat Islands,0.0
2025,Crising,Ifugao,0.0
2025,Crising,Ilocos Norte,265474.0
2025,Crising,Ilocos Sur,0.0
2025,Crising,Iloilo,0.0
2025,Crising,Isabela,0.0
2025,Crising,Kalinga,0.0
2025,Crising,La Union,0.0
2025,Crising,Laguna,505660.0
2025,Crising,Lanao del Norte,0.0
2025,Crising,Lanao del Sur,0.0
2025,Crising,Maguindanao del Norte,0.0
2025,Crising,Maguindanao del Sur,0.0
2025,Crising,Masbate,0.0
2025,Crising,Misamis Oriental,0.0
2025,Crising,Negros Occidental,5964641.0
2025,Crising,Nueva Ecija,0.0
2025,Crising,Nueva Vizcaya,600000.0
2025,Crising,Occidental Mindoro,56782018.5
2025,Crising,Palawan,56186244.79
2025,Crising,Pampanga,0.0
2025,Crising,Pangasinan,19950.0
2025,Crising,Quezon,0.0
2025,Crising,Rizal,0.0
2025,Crising,Sarangani,0.0
2025,Crising,South Cotabato,0.0
2025,Crising,Sultan Kudarat,0.0
2025,Crising,Surigao del Norte,0.0
2025,Crising,Tarlac,1058534.32
2025,Crising,Tawi-Tawi,0.0
2025,Crising,Zambales,0.0
2025,Crising,Zamboanga Sibugay,0.0
2025,Crising,Zamboanga del Norte,0.0
2025,Crising,Zamboanga del Sur,0.0
