Year,Storm,Province,Damage to Infrastructure (PhP)
2025,Crising,Abra,14000000.0
2025,Crising,Agusan del Norte,0.0
2025,Crising,Aklan,43826142.1
2025,Crising,Albay,0.0
2025,Crising,Antique,9044072.28
2025,Crising,Apayao,611434.2
2025,Crising,Aurora,0.0
2025,Crising,Basilan,0.0
2025,Crising,Bataan,0.0
2025,Crising,Batangas,0.0
2025,Crising,Benguet,7034125.7
2025,Crising,Bohol,0.0
2025,Crising,Bulacan,0.0
2025,Crising,Cagayan,75600000.0
2025,Crising,Camarines Norte,0.0
2025,Crising,Camarines Sur,0.0
2025,Crising,Camiguin,0.0
2025,Crising,Capiz,69257878.0
2025,Crising,Catanduanes,0.0
2025,Crising,Cavite,0.0
2025,Crising,Cebu,0.0
2025,Crising,Davao Occidental,0.0
2025,Crising,Davao del Sur,0.0
2025,Crising,Dinagat Islands,0.0
2025,Crising,Ifugao,0.0
2025,Crising,Ilocos Norte,0.0
2025,Crising,Ilocos Sur,19500000.0
2025,Crising,Iloilo,0.0
2025,Crising,Isabela,0.0
2025,Crising,Kalinga,1635000.0
2025,Crising,La Union,1400000.0
2025,Crising,Laguna,0.0
2025,Crising,Lanao del Norte,0.0
2025,Crising,Lanao del Sur,0.0
2025,Crising,Maguindanao del Norte,0.0
2025,Crising,Maguindanao del Sur,0.0
2025,Crising,Masbate,0.0
2025,Crising,Misamis Oriental,0.0
2025,Crising,Negros Occidental,0.0
2025,Crising,Nueva Ecija,0.0
2025,Crising,Nueva Vizcaya,0.0
2025,Crising,Occidental Mindoro,650000.0
2025,Crising,Palawan,0.0
2025,Crising,Pampanga,0.0
2025,Crising,Pangasinan,293793120.0
2025,Crising,Quezon,0.0
2025,Crising,Rizal,0.0
2025,Crising,Sarangani,0.0
2025,Crising,South Cotabato,0.0
2025,Crising,Sultan Kudarat,0.0
2025,Crising,Surigao del Norte,0.0
2025,Crising,Tarlac,0.0
2025,Crising,Tawi-Tawi,0.0
2025,Crising,Zambales,0.0
2025,Crising,Zamboanga Sibugay,0.0
2025,Crising,Zamboanga del Norte,0.0
2025,Crising,Zamboanga del Sur,0.0
