Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2025,Jacinto,Agusan del Norte,0
2025,Jacinto,Albay,0
2025,Jacinto,Batangas,0
2025,Jacinto,Camarines Sur,0
2025,Jacinto,Maguindanao del Norte,0
2025,Jacinto,Maguindanao del Sur,0
2025,Jacinto,Masbate,0
2025,Jacinto,Palawan,0
2025,Jacinto,Quezon,0
2025,Jacinto,Rizal,0
2025,Jacinto,Sarangani,0
2025,Jacinto,Sorsogon,0
2025,Jacinto,Sultan Kudarat,0
2025,Jacinto,Zamboanga Sibugay,0
2025,Jacinto,Zamboanga del Norte,0
2025,Jacinto,Zamboanga del Sur,0
