Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2025,Opong,Abra,0.0
2025,Opong,Agusan del Norte,0.0
2025,Opong,Aklan,5944720.82
2025,Opong,Albay,3030900.3
2025,Opong,Antique,4082884.48
2025,Opong,Apayao,0.0
2025,Opong,Aurora,5859766.07
2025,Opong,Bataan,6680792.96
2025,Opong,Batanes,0.0
2025,Opong,Batangas,0.0
2025,Opong,Benguet,0.0
2025,Opong,Biliran,0.0
2025,Opong,Bohol,0.0
2025,Opong,Bulacan,21093510.78
2025,Opong,Cagayan,653252292.48
2025,Opong,Camarines Norte,190296.4
2025,Opong,Camarines Sur,7640334.84
2025,Opong,Capiz,0.0
2025,Opong,Catanduanes,579190.0
2025,Opong,Cavite,3021693.39
2025,Opong,Cebu,0.0
2025,Opong,Cotabato,60257368.86
2025,Opong,Dinagat Islands,0.0
2025,Opong,Eastern Samar,0.0
2025,Opong,Guimaras,870541.3
2025,Opong,Ifugao,0.0
2025,Opong,Ilocos Norte,266541752.5
2025,Opong,Ilocos Sur,46870882.36
2025,Opong,Iloilo,24943121.290000003
2025,Opong,Isabela,133821150.5
2025,Opong,Kalinga,0.0
2025,Opong,La Union,42708422.17
2025,Opong,Laguna,396723.0
2025,Opong,Lanao del Sur,0.0
2025,Opong,Leyte,0.0
2025,Opong,Maguindanao del Norte,0.0
2025,Opong,Maguindanao del Sur,0.0
2025,Opong,Marinduque,10220630.9
2025,Opong,Masbate,112825825.73
2025,Opong,Negros Occidental,924393.74
2025,Opong,Northern Samar,0.0
2025,Opong,Nueva Ecija,30624486.93
2025,Opong,Nueva Vizcaya,11756933.25
2025,Opong,Occidental Mindoro,48920162.4
2025,Opong,Oriental Mindoro,916307179.65
2025,Opong,Palawan,1970150.69
2025,Opong,Pampanga,981213.75
2025,Opong,Pangasinan,32538166.409999996
2025,Opong,Quezon,5773311.6
2025,Opong,Quirino,8310325.0
2025,Opong,Rizal,0.0
2025,Opong,Romblon,512684448.39
2025,Opong,Samar,0.0
2025,Opong,Sorsogon,4789000.0
2025,Opong,Surigao del Norte,0.0
2025,Opong,Tarlac,15755046.5
2025,Opong,Zambales,9406061.0
2025,Opong,Zamboanga del Sur,0.0
