date,province,latitude,longitude,wind_speed_10m_max,wind_gusts_10m_max,precipitation_hours,precipitation_sum
2011-06-16 00:00:00+00:00,Abra,17.60984,120.725334,8.161764,20.880001,7.0,4.5
2011-06-16 00:00:00+00:00,Agusan del Norte,8.963093,125.548836,10.44,25.199999,18.0,11.800001
2011-06-16 00:00:00+00:00,Agusan del Sur,8.611599,125.938034,6.519877,29.88,15.0,11.800001
2011-06-16 00:00:00+00:00,Aklan,11.704745,122.361359,11.709688,24.48,11.0,9.1
2011-06-16 00:00:00+00:00,Albay,13.110721,123.770493,8.587338,27.359999,12.0,6.4999995
2011-06-16 00:00:00+00:00,Antique,10.720562,121.961136,14.707222,32.760002,16.0,14.800001
2011-06-16 00:00:00+00:00,Apayao,17.820738,121.425804,15.463246,35.64,1.0,0.1
2011-06-16 00:00:00+00:00,Aurora,15.782074,121.5,13.493999,34.92,20.0,7.0
2011-06-16 00:00:00+00:00,Basilan,6.713532,122.018501,12.979984,28.8,14.0,8.300001
2011-06-16 00:00:00+00:00,Bataan,14.657293,120.529739,12.682018,33.839996,9.0,6.4
2011-06-16 00:00:00+00:00,Batanes,20.421791,121.961777,31.65135,42.48,1.0,0.1
2011-06-16 00:00:00+00:00,Batangas,13.743409,121.074379,13.849477,25.56,14.0,11.200001
2011-06-16 00:00:00+00:00,Benguet,16.48506,120.685715,6.87779,35.28,9.0,5.6
2011-06-16 00:00:00+00:00,Biliran,11.564148,124.473213,10.239453,19.8,15.0,11.100001
2011-06-16 00:00:00+00:00,Bohol,9.66608,123.897125,10.514218,25.919998,12.0,22.800001
2011-06-16 00:00:00+00:00,Bukidnon,8.119508,125.183914,7.928178,30.960001,11.0,7.6000004
2011-06-16 00:00:00+00:00,Bulacan,14.86819,120.782852,9.983106,25.56,13.0,6.7
2011-06-16 00:00:00+00:00,Cagayan,17.60984,121.682785,15.629971,37.8,0.0,0.0
2011-06-16 00:00:00+00:00,Camarines Norte,14.094903,122.96125,12.229406,26.64,7.0,7.7999997
2011-06-16 00:00:00+00:00,Camarines Sur,13.602812,123.244728,12.768586,26.64,11.0,10.3
2011-06-16 00:00:00+00:00,Camiguin,9.244288,124.735474,25.43802,35.28,17.0,6.7000003
2011-06-16 00:00:00+00:00,Capiz,11.564148,122.785713,9.779817,24.48,10.0,8.199999
2011-06-16 00:00:00+00:00,Catanduanes,13.602812,124.317139,16.08761,29.519999,9.0,3.1
2011-06-16 00:00:00+00:00,Cavite,14.305799,120.888069,13.363711,27.72,16.0,16.8
2011-06-16 00:00:00+00:00,Cebu,10.29877,123.769775,9.83268,28.08,9.0,21.1
2011-06-16 00:00:00+00:00,Cotabato,6.994728,125.0886,5.0911684,27.72,13.0,9.499999
2011-06-16 00:00:00+00:00,Davao Occidental,6.432337,125.532265,6.6087217,30.599998,10.0,2.6
2011-06-16 00:00:00+00:00,Davao Oriental,6.924429,126.273178,9.255571,23.039999,22.0,6.0000005
2011-06-16 00:00:00+00:00,Davao de Oro,7.627417,125.969391,10.009036,29.16,18.0,7.000001
2011-06-16 00:00:00+00:00,Davao del Norte,7.41652,125.801529,7.24486,25.919998,20.0,13.999999
2011-06-16 00:00:00+00:00,Davao del Sur,6.783832,125.378792,5.692099,29.519999,10.0,4.5999994
2011-06-16 00:00:00+00:00,Dinagat Islands,10.087873,125.574059,15.978484,33.12,16.0,12.200001
2011-06-16 00:00:00+00:00,Eastern Samar,11.634446,125.388748,10.805999,22.68,15.0,5.2
2011-06-16 00:00:00+00:00,Guimaras,10.579965,122.619049,15.546833,30.599998,18.0,8.400001
2011-06-16 00:00:00+00:00,Ifugao,16.836554,121.17704,6.28713,27.359999,8.0,1.5000001
2011-06-16 00:00:00+00:00,Ilocos Norte,18.172232,120.614037,11.165805,24.48,6.0,4.0
2011-06-16 00:00:00+00:00,Ilocos Sur,17.539541,120.434784,8.161764,20.880001,7.0,4.5
2011-06-16 00:00:00+00:00,Iloilo,11.001758,122.632973,15.077082,29.16,9.0,5.6999993
2011-06-16 00:00:00+00:00,Isabela,17.11775,121.902016,14.386494,33.48,1.0,0.4
2011-06-16 00:00:00+00:00,Kalinga,17.469244,121.447876,15.463246,35.64,1.0,0.1
2011-06-16 00:00:00+00:00,La Union,16.625658,120.314888,21.203358,39.6,5.0,2.3
2011-06-16 00:00:00+00:00,Laguna,14.305799,121.470863,19.137648,30.239998,21.0,11.399999
2011-06-16 00:00:00+00:00,Lanao del Norte,8.260105,124.318771,5.4833565,18.359999,12.0,5.7000003
2011-06-16 00:00:00+00:00,Lanao del Sur,7.97891,124.355255,6.489992,27.0,12.0,9.1
2011-06-16 00:00:00+00:00,Leyte,11.212654,124.959999,14.494192,27.359999,13.0,3.9
2011-06-16 00:00:00+00:00,Maguindanao del Norte,6.994728,124.40506,6.12,23.759998,13.0,10.299999
2011-06-16 00:00:00+00:00,Maguindanao del Sur,6.713532,124.819176,6.1094027,23.759998,12.0,6.9999995
2011-06-16 00:00:00+00:00,Marinduque,13.462214,121.866425,27.897097,38.88,18.0,8.400001
2011-06-16 00:00:00+00:00,Masbate,12.196836,123.618362,10.182337,24.119999,11.0,7.600001
2011-06-16 00:00:00+00:00,Metro Manila,14.586995,121.002785,9.983106,25.56,13.0,6.7
2011-06-16 00:00:00+00:00,Misamis Occidental,8.471002,123.788658,11.304229,23.759998,7.0,5.9
2011-06-16 00:00:00+00:00,Misamis Oriental,8.471002,124.639168,10.163227,24.119999,12.0,3.3
2011-06-16 00:00:00+00:00,Mountain Province,17.11775,120.864555,10.799999,33.839996,10.0,4.7000003
2011-06-16 00:00:00+00:00,Negros Occidental,10.650264,122.965576,17.373497,34.2,17.0,11.199999
2011-06-16 00:00:00+00:00,Negros Oriental,9.314587,123.28125,14.57889,31.68,20.0,13.2
2011-06-16 00:00:00+00:00,Northern Samar,12.478031,124.63414,8.4042845,22.319998,10.0,11.200001
2011-06-16 00:00:00+00:00,Nueva Ecija,15.500878,120.958641,12.864649,35.28,11.0,7.6999993
