date,province,latitude,longitude,wind_speed_10m_max,wind_gusts_10m_max,precipitation_hours,precipitation_sum
2011-09-23 00:00:00+00:00,Abra,17.60984,120.725334,8.427383,30.599998,22.0,9.099999
2011-09-23 00:00:00+00:00,Agusan del Norte,8.963093,125.548836,16.075521,38.519997,18.0,11.999999
2011-09-23 00:00:00+00:00,Agusan del Sur,8.611599,125.938034,10.233123,41.760002,2.0,1.8000001
2011-09-23 00:00:00+00:00,Aklan,11.704745,122.361359,21.578989,43.199997,10.0,2.8000002
2011-09-23 00:00:00+00:00,Albay,13.110721,123.770493,8.825508,29.88,12.0,13.200001
2011-09-23 00:00:00+00:00,Antique,10.720562,121.961136,11.013882,37.079998,22.0,13.799998
2011-09-23 00:00:00+00:00,Apayao,17.820738,121.425804,7.172949,18.72,21.0,41.399998
2011-09-23 00:00:00+00:00,Aurora,15.782074,121.5,10.308831,38.519997,15.0,6.4
2011-09-23 00:00:00+00:00,Basilan,6.713532,122.018501,15.815435,33.839996,10.0,5.299999
2011-09-23 00:00:00+00:00,Bataan,14.657293,120.529739,15.990646,35.64,17.0,7.6
2011-09-23 00:00:00+00:00,Batanes,20.421791,121.961777,35.931534,52.199997,14.0,25.699999
2011-09-23 00:00:00+00:00,Batangas,13.743409,121.074379,25.96496,39.96,17.0,5.9999995
2011-09-23 00:00:00+00:00,Benguet,16.48506,120.685715,6.162207,35.28,14.0,12.2
2011-09-23 00:00:00+00:00,Biliran,11.564148,124.473213,15.84409,44.28,19.0,14.3
2011-09-23 00:00:00+00:00,Bohol,9.66608,123.897125,14.404499,38.88,16.0,10.1
2011-09-23 00:00:00+00:00,Bukidnon,8.119508,125.183914,8.049845,37.8,7.0,2.6
2011-09-23 00:00:00+00:00,Bulacan,14.86819,120.782852,16.676977,34.56,14.0,4.7
2011-09-23 00:00:00+00:00,Cagayan,17.60984,121.682785,5.634891,17.28,23.0,47.000004
2011-09-23 00:00:00+00:00,Camarines Norte,14.094903,122.96125,8.287822,35.64,17.0,10.600001
2011-09-23 00:00:00+00:00,Camarines Sur,13.602812,123.244728,11.457958,28.44,21.0,14.299998
2011-09-23 00:00:00+00:00,Camiguin,9.244288,124.735474,33.75948,51.839996,24.0,27.799997
2011-09-23 00:00:00+00:00,Capiz,11.564148,122.785713,9.028754,34.2,6.0,2.8000002
2011-09-23 00:00:00+00:00,Catanduanes,13.602812,124.317139,13.363711,24.48,16.0,15.300001
2011-09-23 00:00:00+00:00,Cavite,14.305799,120.888069,24.195107,43.56,22.0,12.7
2011-09-23 00:00:00+00:00,Cebu,10.29877,123.769775,10.028439,36.0,11.0,6.9999995
2011-09-23 00:00:00+00:00,Cotabato,6.994728,125.0886,8.534353,44.639996,18.0,11.800002
2011-09-23 00:00:00+00:00,Davao Occidental,6.432337,125.532265,10.464798,37.8,2.0,2.0
2011-09-23 00:00:00+00:00,Davao Oriental,6.924429,126.273178,12.55879,25.919998,5.0,0.9
2011-09-23 00:00:00+00:00,Davao de Oro,7.627417,125.969391,8.287822,22.68,1.0,0.1
2011-09-23 00:00:00+00:00,Davao del Norte,7.41652,125.801529,5.8603754,28.44,6.0,4.7999997
2011-09-23 00:00:00+00:00,Davao del Sur,6.783832,125.378792,9.085988,45.36,15.0,8.5
2011-09-23 00:00:00+00:00,Dinagat Islands,10.087873,125.574059,26.882141,64.079994,12.0,5.8999996
2011-09-23 00:00:00+00:00,Eastern Samar,11.634446,125.388748,19.137648,36.36,7.0,12.6
2011-09-23 00:00:00+00:00,Guimaras,10.579965,122.619049,13.513193,34.92,16.0,12.499999
2011-09-23 00:00:00+00:00,Ifugao,16.836554,121.17704,5.6233797,24.48,5.0,1.5000001
2011-09-23 00:00:00+00:00,Ilocos Norte,18.172232,120.614037,9.6932955,25.919998,21.0,36.600002
2011-09-23 00:00:00+00:00,Ilocos Sur,17.539541,120.434784,8.427383,30.599998,22.0,9.099999
2011-09-23 00:00:00+00:00,Iloilo,11.001758,122.632973,14.77755,32.399998,5.0,6.2000003
2011-09-23 00:00:00+00:00,Isabela,17.11775,121.902016,7.172949,20.519999,8.0,8.6
2011-09-23 00:00:00+00:00,Kalinga,17.469244,121.447876,7.172949,18.72,21.0,41.399998
2011-09-23 00:00:00+00:00,La Union,16.625658,120.314888,20.304129,38.88,17.0,10.800001
2011-09-23 00:00:00+00:00,Laguna,14.305799,121.470863,13.450708,26.28,9.0,3.3999999
2011-09-23 00:00:00+00:00,Lanao del Norte,8.260105,124.318771,5.8603754,33.12,19.0,18.500002
2011-09-23 00:00:00+00:00,Lanao del Sur,7.97891,124.355255,7.342588,36.36,12.0,7.4999995
2011-09-23 00:00:00+00:00,Leyte,11.212654,124.959999,17.114204,30.599998,8.0,7.4999995
2011-09-23 00:00:00+00:00,Maguindanao del Norte,6.994728,124.40506,13.75558,45.719997,18.0,8.500002
2011-09-23 00:00:00+00:00,Maguindanao del Sur,6.713532,124.819176,10.685391,42.48,16.0,6.6999993
