date,province,latitude,longitude,wind_speed_10m_max,wind_gusts_10m_max,precipitation_hours,precipitation_sum
2012-08-17 00:00:00+00:00,Abra,17.60984,120.725334,19.453327,36.719997,5.0,1.3000001
2012-08-17 00:00:00+00:00,Agusan del Norte,8.963093,125.548836,10.1887,21.96,14.0,33.5
2012-08-17 00:00:00+00:00,Agusan del Sur,8.611599,125.938034,7.8954163,21.24,3.0,1.5
2012-08-17 00:00:00+00:00,Aklan,11.704745,122.361359,8.587338,19.8,2.0,1.0
2012-08-17 00:00:00+00:00,Albay,13.110721,123.770493,5.0911684,21.599998,6.0,6.2999997
2012-08-17 00:00:00+00:00,Antique,10.720562,121.961136,8.587338,23.759998,5.0,1.9000001
2012-08-17 00:00:00+00:00,Apayao,17.820738,121.425804,9.793058,27.0,16.0,33.600002
2012-08-17 00:00:00+00:00,Aurora,15.782074,121.5,6.12,29.519999,8.0,5.7999997
2012-08-17 00:00:00+00:00,Basilan,6.713532,122.018501,14.372974,28.8,15.0,7.7999997
2012-08-17 00:00:00+00:00,Bataan,14.657293,120.529739,13.0447235,35.28,1.0,0.1
2012-08-17 00:00:00+00:00,Batanes,20.421791,121.961777,22.725668,21.599998,5.0,1.3000001
2012-08-17 00:00:00+00:00,Batangas,13.743409,121.074379,11.874544,21.24,0.0,0.0
2012-08-17 00:00:00+00:00,Benguet,16.48506,120.685715,8.714677,39.6,21.0,10.3
2012-08-17 00:00:00+00:00,Biliran,11.564148,124.473213,12.88981,22.319998,13.0,8.599999
2012-08-17 00:00:00+00:00,Bohol,9.66608,123.897125,10.739833,25.56,15.0,10.900001
2012-08-17 00:00:00+00:00,Bukidnon,8.119508,125.183914,8.350138,22.319998,9.0,2.0
2012-08-17 00:00:00+00:00,Bulacan,14.86819,120.782852,13.363711,27.72,5.0,1.2
2012-08-17 00:00:00+00:00,Cagayan,17.60984,121.682785,8.669949,28.08,12.0,19.099997
2012-08-17 00:00:00+00:00,Camarines Norte,14.094903,122.96125,10.8955765,26.64,5.0,3.1
2012-08-17 00:00:00+00:00,Camarines Sur,13.602812,123.244728,10.636766,27.72,3.0,1.8
2012-08-17 00:00:00+00:00,Camiguin,9.244288,124.735474,9.726665,23.039999,11.0,9.200001
2012-08-17 00:00:00+00:00,Capiz,11.564148,122.785713,12.371645,22.68,2.0,1.6
2012-08-17 00:00:00+00:00,Catanduanes,13.602812,124.317139,7.208994,20.880001,7.0,3.9999998
2012-08-17 00:00:00+00:00,Cavite,14.305799,120.888069,13.049689,28.44,2.0,0.2
2012-08-17 00:00:00+00:00,Cebu,10.29877,123.769775,8.714677,23.039999,10.0,4.6
