date,province,latitude,longitude,wind_speed_10m_max,wind_gusts_10m_max,precipitation_hours,precipitation_sum
2020-07-30 00:00:00+00:00,Abra,17.60984,120.725334,9.007196,27.72,20.0,11.800003
2020-07-30 00:00:00+00:00,Agusan del Norte,8.963093,125.548836,11.923557,28.08,8.0,13.9
2020-07-30 00:00:00+00:00,Agusan del Sur,8.611599,125.938034,13.1041975,32.760002,10.0,4.1
2020-07-30 00:00:00+00:00,Aklan,11.704745,122.361359,11.183201,39.96,11.0,8.4
2020-07-30 00:00:00+00:00,Albay,13.110721,123.770493,17.58481,41.399998,23.0,16.700003
2020-07-30 00:00:00+00:00,Antique,10.720562,121.961136,23.241617,43.199997,24.0,19.4
2020-07-30 00:00:00+00:00,Apayao,17.820738,121.425804,9.021574,35.28,21.0,38.7
2020-07-30 00:00:00+00:00,Aurora,15.782074,121.5,9.0,29.519999,24.0,50.799995
2020-07-30 00:00:00+00:00,Basilan,6.713532,122.018501,8.427383,22.68,15.0,2.4
2020-07-30 00:00:00+00:00,Bataan,14.657293,120.529739,10.594036,30.599998,24.0,53.300003
2020-07-30 00:00:00+00:00,Batanes,20.421791,121.961777,40.321606,54.0,21.0,17.2
2020-07-30 00:00:00+00:00,Batangas,13.743409,121.074379,9.504273,33.839996,20.0,27.7
2020-07-30 00:00:00+00:00,Benguet,16.48506,120.685715,15.021105,48.6,21.0,17.1
2020-07-30 00:00:00+00:00,Biliran,11.564148,124.473213,13.849477,39.239998,18.0,10.200002
2020-07-30 00:00:00+00:00,Bohol,9.66608,123.897125,21.533897,43.199997,16.0,4.3999996
2020-07-30 00:00:00+00:00,Bukidnon,8.119508,125.183914,14.05845,36.0,17.0,3.3999999
2020-07-30 00:00:00+00:00,Bulacan,14.86819,120.782852,17.283749,37.079998,24.0,35.2
2020-07-30 00:00:00+00:00,Cagayan,17.60984,121.682785,12.031756,41.039997,17.0,47.599987
2020-07-30 00:00:00+00:00,Camarines Norte,14.094903,122.96125,15.328561,36.719997,14.0,2.3
2020-07-30 00:00:00+00:00,Camarines Sur,13.602812,123.244728,18.129137,39.96,23.0,18.800001
